"Time (s)","Pressure (hPa)"
9.797889109E1,9.977316895E2
9.801888828E1,9.977265015E2
9.805889119E1,9.977333984E2
9.809887724E1,9.977258911E2
9.813888005E1,9.977224731E2
9.817888932E1,9.977480469E2
9.821888750E1,9.977443237E2
9.825887474E1,9.977466431E2
9.829887630E1,9.977437134E2
9.833887661E1,9.977412109E2
9.837887536E1,9.977194824E2
9.841888849E1,9.977357178E2
9.845888047E1,9.977286987E2
9.849888099E1,9.977192993E2
9.853888041E1,9.977384033E2
9.857887875E1,9.977343140E2
9.861889359E1,9.977316895E2
9.865888088E1,9.977276001E2
9.869887880E1,9.977459106E2
9.873887963E1,9.977607422E2
9.877887442E1,9.977424316E2
9.881887505E1,9.977482300E2
9.885887640E1,9.977307129E2
9.889887807E1,9.977229004E2
9.893888869E1,9.977330933E2
9.897888578E1,9.977266846E2
9.901887765E1,9.977327881E2
9.905888901E1,9.977221069E2
9.909888099E1,9.977368164E2
9.913887724E1,9.977340088E2
9.917887557E1,9.977466431E2
9.921888000E1,9.977451172E2
9.925887567E1,9.977294922E2
9.929887755E1,9.977412109E2
9.933887765E1,9.977488403E2
9.937888588E1,9.977254028E2
9.941888651E1,9.977272949E2
9.945888151E1,9.977310181E2
9.949887807E1,9.977388306E2
9.953887526E1,9.977462158E2
9.957887734E1,9.977501221E2
9.961887708E1,9.977454224E2
9.965887432E1,9.977590332E2
9.969887213E1,9.977532349E2
9.973887672E1,9.977410278E2
9.977887890E1,9.977432251E2
9.981887672E1,9.977590332E2
9.985888151E1,9.977388306E2
9.989887838E1,9.977359009E2
9.993888109E1,9.977448120E2
9.997888515E1,9.977368164E2
1.000188831E2,9.977388306E2
1.000588837E2,9.977348022E2
1.000988763E2,9.977643433E2
1.001389003E2,9.977544556E2
1.001788787E2,9.977555542E2
1.002188811E2,9.977549438E2
1.002588755E2,9.977599487E2
1.002988807E2,9.977579346E2
1.003388855E2,9.977468262E2
1.003788778E2,9.977274170E2
1.004188831E2,9.977352295E2
1.004588843E2,9.977590332E2
1.004988838E2,9.977532349E2
1.005388796E2,9.977225952E2
1.005788796E2,9.977490234E2
1.006188888E2,9.977402344E2
1.006588796E2,9.977610474E2
1.006988786E2,9.977643433E2
1.007388771E2,9.977416382E2
1.007788940E2,9.977393188E2
1.008188857E2,9.977395020E2
1.008588785E2,9.977440186E2
1.008988950E2,9.977363281E2
1.009388923E2,9.977297974E2
1.009788761E2,9.977494507E2
1.010188809E2,9.977527466E2
1.010588857E2,9.977398071E2
1.010988792E2,9.977558594E2
1.011388810E2,9.977406006E2
1.011788807E2,9.977485352E2
1.012188834E2,9.977418213E2
1.012588894E2,9.977494507E2
1.012988904E2,9.977415161E2
1.013388884E2,9.977276001E2
1.013788838E2,9.977519531E2
1.014188908E2,9.977529297E2
1.014588862E2,9.977412109E2
1.014988873E2,9.977476196E2
1.015388813E2,9.977460327E2
1.015788743E2,9.977521362E2
1.016188778E2,9.977515259E2
1.016588748E2,9.977633667E2
1.016988800E2,9.977590332E2
1.017388819E2,9.977434082E2
1.017788789E2,9.977524414E2
1.018188792E2,9.977268066E2
1.018588795E2,9.977305908E2
1.018988859E2,9.977496338E2
1.019388870E2,9.977420044E2
1.019788762E2,9.977590332E2
1.020188778E2,9.977465210E2
1.020588746E2,9.977498169E2
1.020988723E2,9.977580566E2
1.021388768E2,9.977742920E2
1.021788779E2,9.977521362E2
1.022188832E2,9.977490234E2
1.022588807E2,9.977621460E2
1.022988742E2,9.977601318E2
1.023388756E2,9.977480469E2
1.023788759E2,9.977434082E2
1.024188802E2,9.977468262E2
1.024588850E2,9.977491455E2
1.024988843E2,9.977569580E2
1.025388734E2,9.977593384E2
1.025788806E2,9.977708740E2
1.026188828E2,9.977480469E2
1.026588759E2,9.977674561E2
1.026988835E2,9.977544556E2
1.027388817E2,9.977333984E2
1.027788829E2,9.977530518E2
1.028188879E2,9.977594604E2
1.028588755E2,9.977477417E2
1.028988825E2,9.977468262E2
1.029388769E2,9.977443237E2
1.029788756E2,9.977630615E2
1.030188721E2,9.977565308E2
1.030588757E2,9.977593384E2
1.030988742E2,9.977697754E2
1.031388828E2,9.977576294E2
1.031788804E2,9.977544556E2
1.032188757E2,9.977716675E2
1.032588846E2,9.977579346E2
1.032988757E2,9.977471313E2
1.033388635E2,9.977732544E2
1.033788763E2,9.977527466E2
1.034188808E2,9.977527466E2
1.034588797E2,9.977541504E2
1.034988773E2,9.977505493E2
1.035388764E2,9.977722778E2
1.035788778E2,9.977735596E2
1.036188704E2,9.977714844E2
1.036588800E2,9.977789917E2
1.036988808E2,9.977546387E2
1.037388744E2,9.977689819E2
1.037788814E2,9.977669678E2
1.038188831E2,9.977508545E2
1.038588867E2,9.977664795E2
1.038988843E2,9.977664795E2
1.039388832E2,9.977649536E2
1.039788758E2,9.977724609E2
1.040188744E2,9.977697754E2
1.040588760E2,9.977877808E2
1.040988791E2,9.977805786E2
1.041388938E2,9.977896118E2
1.041788807E2,9.977718506E2
1.042188817E2,9.977735596E2
1.042588908E2,9.977788696E2
1.042988764E2,9.977569580E2
1.043388838E2,9.977741699E2
1.043788825E2,9.977474365E2
1.044188752E2,9.977652588E2
1.044588734E2,9.977613525E2
1.044988773E2,9.977702637E2
1.045388755E2,9.977858887E2
1.045788875E2,9.977847900E2
1.046188793E2,9.977879028E2
1.046588829E2,9.977707520E2
1.046988874E2,9.977780762E2
1.047388904E2,9.977775879E2
1.047788796E2,9.977755737E2
1.048188778E2,9.977661743E2
1.048588765E2,9.977839966E2
1.048988803E2,9.977661743E2
1.049388680E2,9.977758789E2
1.049788773E2,9.977685547E2
1.050188777E2,9.977807007E2
1.050588796E2,9.977838745E2
1.050988762E2,9.977789917E2
1.051388762E2,9.977814941E2
1.051788840E2,9.977875977E2
1.052188781E2,9.977760620E2
1.052588731E2,9.977685547E2
1.052988862E2,9.977713623E2
1.053388777E2,9.977590332E2
1.053788773E2,9.977758789E2
1.054188752E2,9.977749634E2
1.054588800E2,9.977685547E2
1.054988859E2,9.977716675E2
1.055388797E2,9.977863770E2
1.055788740E2,9.977922974E2
1.056188875E2,9.977882080E2
1.056588788E2,9.977719727E2
1.056988846E2,9.977780762E2
1.057388853E2,9.977590332E2
1.057788792E2,9.977577515E2
1.058188804E2,9.977652588E2
1.058588774E2,9.977689819E2
1.058988759E2,9.977847900E2
1.059388754E2,9.977691650E2
1.059788778E2,9.977761841E2
1.060188823E2,9.977718506E2
1.060588825E2,9.977767944E2
1.060988861E2,9.977891846E2
1.061388857E2,9.977799683E2
1.061788867E2,9.977908936E2
1.062188919E2,9.977635498E2
1.062588817E2,9.977716675E2
1.062988750E2,9.977722778E2
1.063388755E2,9.977580566E2
1.063788805E2,9.977725830E2
1.064188775E2,9.977786865E2
1.064588748E2,9.977828979E2
1.064988843E2,9.977869873E2
1.065388799E2,9.977971191E2
1.065788836E2,9.977974243E2
1.066188828E2,9.977777710E2
1.066588817E2,9.977855835E2
1.066988817E2,9.977854004E2
1.067388755E2,9.977601318E2
1.067788819E2,9.977780762E2
1.068188768E2,9.977869873E2
1.068588734E2,9.977732544E2
1.068988787E2,9.977810669E2
1.069388889E2,9.977947998E2
1.069788885E2,9.978084106E2
1.070188836E2,9.977933960E2
1.070588783E2,9.977786865E2
1.070988828E2,9.977918091E2
1.071388814E2,9.977985229E2
1.071788843E2,9.977760620E2
1.072188828E2,9.977958984E2
1.072588795E2,9.977649536E2
1.072988786E2,9.977747803E2
1.073388836E2,9.977713623E2
1.073788798E2,9.977755737E2
1.074188874E2,9.977857056E2
1.074588760E2,9.978035278E2
1.074988772E2,9.977987061E2
1.075388783E2,9.978037109E2
1.075788779E2,9.977996216E2
1.076188769E2,9.977927856E2
1.076588757E2,9.977987061E2
1.076988888E2,9.977891846E2
1.077388793E2,9.977904053E2
1.077788833E2,9.977879028E2
1.078188739E2,9.977899170E2
1.078588825E2,9.977702637E2
1.078988729E2,9.977962036E2
1.079388853E2,9.978023071E2
1.079788759E2,9.977976074E2
1.080188822E2,9.978116455E2
1.080588774E2,9.978038330E2
1.080988834E2,9.977907104E2
1.081388778E2,9.978052368E2
1.081788864E2,9.977785645E2
1.082188796E2,9.977730713E2
1.082588739E2,9.978040161E2
1.082988763E2,9.977871094E2
1.083388900E2,9.978029175E2
1.083788768E2,9.977933960E2
1.084188753E2,9.977976074E2
1.084588763E2,9.977994995E2
1.084988887E2,9.978093262E2
1.085388962E2,9.977984009E2
1.085788846E2,9.977946167E2
1.086188929E2,9.977879028E2
1.086588700E2,9.978068237E2
1.086988861E2,9.977705688E2
1.087388778E2,9.977911987E2
1.087788823E2,9.977951050E2
1.088188843E2,9.977955933E2
1.088588898E2,9.977929077E2
1.088988850E2,9.977877808E2
1.089388879E2,9.977813721E2
1.089788832E2,9.977999268E2
1.090188779E2,9.978109131E2
1.090588729E2,9.978029175E2
1.090988807E2,9.977943115E2
1.091388784E2,9.977869873E2
1.091788805E2,9.977839966E2
1.092188642E2,9.977890015E2
1.092588785E2,9.977817993E2
1.092988882E2,9.977907104E2
1.093388833E2,9.977868042E2
1.093788756E2,9.977926025E2
1.094188904E2,9.978021240E2
1.094588746E2,9.977836914E2
1.094988754E2,9.977913818E2
1.095388820E2,9.977994995E2
1.095788832E2,9.978005981E2
1.096188769E2,9.977966919E2
1.096588772E2,9.977866821E2
1.096988767E2,9.977807007E2
1.097388734E2,9.977847900E2
1.097788791E2,9.978177490E2
1.098188871E2,9.978057251E2
1.098588805E2,9.978060303E2
1.098988930E2,9.978026123E2
1.099388878E2,9.978060303E2
1.099788938E2,9.978119507E2
1.100188886E2,9.978321533E2
1.100588777E2,9.978043213E2
1.100988825E2,9.978049316E2
1.101388744E2,9.977893066E2
1.101788777E2,9.977777710E2
1.102188841E2,9.977814941E2
1.102588936E2,9.977772827E2
1.102988910E2,9.977735596E2
1.103388829E2,9.977969971E2
1.103788815E2,9.977937012E2
1.104188804E2,9.977966919E2
1.104588862E2,9.978062134E2
1.104988895E2,9.977962036E2
1.105388883E2,9.978046265E2
1.105788728E2,9.977908936E2
1.106188858E2,9.978009033E2
1.106588798E2,9.977974243E2
